StringA,BooleanB,IntegerC,DecimalD,DateE,TimeF,DateTimeG,HyperlinkI,StringA2,BooleanB2,IntegerC2,DecimalD2,DateE2,TimeF2,DateTimeG2,HyperlinkI2
3RP64CUV275DPZNL10GBM8FCINGCKA,TRUE,1,4000.112333,1/1/14,1:02:03,1/1/14 1:12,http://google.com,[3RP64CUV275DPZNL10GBM8FCINGCKA],[TRUE],[1],[4000.112333],[1/1/14],[1:02:03],[1/1/14 1:12],[http://google.com]
3IQUJ9DY8C4M3IJMH521UE0ZOIJ3EW,FALSE,2,-0.844141131,1/2/14,2:02:03,1/2/14 1:12,http://firefox.com,[3IQUJ9DY8C4M3IJMH521UE0ZOIJ3EW],[FALSE],[2],[-0.844141131],[1/2/14],[2:02:03],[1/2/14 1:12],[http://firefox.com]
3YTIQ7TAFGPIF6TIR3RYZCVVJ0XOR1,FALSE,3,-0.17,1/3/14,3:02:03,1/3/14 1:12,https://stackoverflow.com,[3YTIQ7TAFGPIF6TIR3RYZCVVJ0XOR1],[FALSE],[3],[-0.17],[1/3/14],[3:02:03],[1/3/14 1:12],[https://stackoverflow.com]
3TZJZC6VDFCK3Q6GJIEOEM9SSA4W0A,FALSE,4,-116.134,1/4/14,4:02:03,1/4/14 1:12,http://apple.com,[3TZJZC6VDFCK3Q6GJIEOEM9SSA4W0A],[FALSE],[4],[-116.134],[1/4/14],[4:02:03],[1/4/14 1:12],[http://apple.com]
3YQV4YRHC8FEMFOQ5P1OAEHQSDTHD1,FALSE,51029292,-23.23,1/5/14,5:02:03,1/5/14 1:12,http://amazon.com,[3YQV4YRHC8FEMFOQ5P1OAEHQSDTHD1],[FALSE],[51029292],[-23.23],[1/5/14],[5:02:03],[1/5/14 1:12],[http://amazon.com]
3L9Z4LZHPLT2DM3DUTC8RHJC95LXNF,FALSE,1,-335.37,1/6/14,6:02:03,1/6/14 1:12,http://hp.com,[3L9Z4LZHPLT2DM3DUTC8RHJC95LXNF],[FALSE],[1],[-335.37],[1/6/14],[6:02:03],[1/6/14 1:12],[http://hp.com]
3EU8AFIIJY2GE1IMHDGE7KDMBGOJ0F,FALSE,2,-67.07,1/7/14,7:02:03,1/7/14 1:12,http://dell.com,[3EU8AFIIJY2GE1IMHDGE7KDMBGOJ0F],[FALSE],[2],[-67.07],[1/7/14],[7:02:03],[1/7/14 1:12],[http://dell.com]
3E5SGWHG18JRZ09UY5I2XA27P8OW2U,FALSE,3,-79.1,1/8/14,8:02:03,1/8/14 1:12,https://www.w3schools.com,[3E5SGWHG18JRZ09UY5I2XA27P8OW2U],[FALSE],[3],[-79.1],[1/8/14],[8:02:03],[1/8/14 1:12],[https://www.w3schools.com]
314AR25001UBKZ2MWVWEYEKB4Q9HFC,FALSE,4,-15.82,1/9/14,9:02:03,1/9/14 1:12,http://oracle.com,[314AR25001UBKZ2MWVWEYEKB4Q9HFC],[FALSE],[4],[-15.82],[1/9/14],[9:02:03],[1/9/14 1:12],[http://oracle.com]
34GHJFOGA5JL4IDBP67WXN66LGN655,FALSE,5,-88.55,1/10/14,10:02:03,1/10/14 1:12,http://mongodb.com,[34GHJFOGA5JL4IDBP67WXN66LGN655],[FALSE],[5],[-88.55],[1/10/14],[10:02:03],[1/10/14 1:12],[http://mongodb.com]
3HKHGGG7TGX8JKIFT8ETFFZ97RZRIA,FALSE,4,-17.71,1/11/14,11:02:03,1/11/14 1:12,http://django.org,[3HKHGGG7TGX8JKIFT8ETFFZ97RZRIA],[FALSE],[4],[-17.71],[1/11/14],[11:02:03],[1/11/14 1:12],[http://django.org]
3VP10SF4O5DAXCD8JVV7KN2P17Z8BU,FALSE,0,-284.13,1/12/14,12:02:03,1/12/14 1:12,http://mysql.com,[3VP10SF4O5DAXCD8JVV7KN2P17Z8BU],[FALSE],[0],[-284.13],[1/12/14],[12:02:03],[1/12/14 1:12],[http://mysql.com]
3UKOLXHAI11VVL6AVSWTZRWD7LVTOK,FALSE,0,-56.83,1/13/14,13:02:03,1/13/14 1:12,,[3UKOLXHAI11VVL6AVSWTZRWD7LVTOK],[FALSE],[0],[-56.83],[1/13/14],[13:02:03],[1/13/14 1:12],
3Q50YLAWPFUPMDD72FYGCUP9VXBGT7,FALSE,0,-412.02,1/14/14,14:02:03,1/14/14 1:12,,[3Q50YLAWPFUPMDD72FYGCUP9VXBGT7],[FALSE],[0],[-412.02],[1/14/14],[14:02:03],[1/14/14 1:12],
339N05UJ6XXBMG6TCHQ3H41WM8O26C,FALSE,3,-82.4,1/15/14,15:02:03,1/15/14 1:12,,[339N05UJ6XXBMG6TCHQ3H41WM8O26C],[FALSE],[3],[-82.4],[1/15/14],[15:02:03],[1/15/14 1:12],
38KC7LH7ELANJHPA5H7MNUH5Z9213Y,FALSE,4,-248.37,1/16/14,16:02:03,1/16/14 1:12,,[38KC7LH7ELANJHPA5H7MNUH5Z9213Y],[FALSE],[4],[-248.37],[1/16/14],[16:02:03],[1/16/14 1:12],
33ZVMC10IH23QDZSYCI984SJMQUMG9,FALSE,5,-49.67,1/17/14,17:02:03,1/17/14 1:12,,[33ZVMC10IH23QDZSYCI984SJMQUMG9],[FALSE],[5],[-49.67],[1/17/14],[17:02:03],[1/17/14 1:12],
3W0QMLDH1SA4Z5HW7AYVDCDUSIRGVN,FALSE,3,-900,1/18/14,18:02:03,1/18/14 1:12,https://perspective.finos.org/,[3W0QMLDH1SA4Z5HW7AYVDCDUSIRGVN],[FALSE],[3],[-900],[1/18/14],[18:02:03],[1/18/14 1:12],[https://perspective.finos.org/]
3OXG7CQT9BCYQUPH5WN11IXNS3E28Y,FALSE,2,-180,1/19/14,19:02:03,1/19/14 1:12,https://bl.ocks.org/JHawk/952262145299ffd7fa58d22a51de905d,[3OXG7CQT9BCYQUPH5WN11IXNS3E28Y],[FALSE],[2],[-180],[1/19/14],[19:02:03],[1/19/14 1:12],[https://bl.ocks.org/JHawk/952262145299ffd7fa58d22a51de905d]
3OYOC37YIO4IL23PHEI1LGV4XS7C22,FALSE,2,-976.98,1/20/14,20:02:03,1/20/14 1:12,http://github.com,[3OYOC37YIO4IL23PHEI1LGV4XS7C22],[FALSE],[2],[-976.98],[1/20/14],[20:02:03],[1/20/14 1:12],[http://github.com]
3Q7VJPL7HQQ86P211ZE01085SGSXFL,FALSE,4,-195.4,1/21/14,21:02:03,1/21/14 1:12,http://circleci.com,[3Q7VJPL7HQQ86P211ZE01085SGSXFL],[FALSE],[4],[-195.4],[1/21/14],[21:02:03],[1/21/14 1:12],[http://circleci.com]
3ZNRUFHCAPUT7MCWZOMG3SY5T05NET,FALSE,4,-800,1/22/14,22:02:03,1/22/14 1:12,,[3ZNRUFHCAPUT7MCWZOMG3SY5T05NET],[FALSE],[4],[-800],[1/22/14],[22:02:03],[1/22/14 1:12],
36VLF3IP1E0FUE62KM222Q5V4WP8RG,FALSE,5,-160,1/23/14,23:02:03,1/23/14 1:12,,[36VLF3IP1E0FUE62KM222Q5V4WP8RG],[FALSE],[5],[-160],[1/23/14],[23:02:03],[1/23/14 1:12],
